model,query_id,query_name,query_tactic,similar_id,similar_name,cosine_score
BERT,T1552,Unsecured Credentials,Credential Access,,,
CTI-BERT,T1553,Subvert Trust Controls,Defense Impairment,,,
SecureBERT,T1553,Subvert Trust Controls,Defense Impairment,T1686,Disable or Modify System Firewall,0.9569
BERT,T1553,Subvert Trust Controls,Defense Impairment,,,
CTI-BERT,T1554,Compromise Host Software Binary,Persistence,,,
SecureBERT,T1554,Compromise Host Software Binary,Persistence,T1176,Software Extensions,0.9736
BERT,T1554,Compromise Host Software Binary,Persistence,,,
CTI-BERT,T1555,Credentials from Password Stores,Credential Access,,,
SecureBERT,T1555,Credentials from Password Stores,Credential Access,T1606,Forge Web Credentials,0.9732
BERT,T1555,Credentials from Password Stores,Credential Access,,,
CTI-BERT,T1556,Modify Authentication Process,"Credential Access, Defense Impairment, Persistence",,,
SecureBERT,T1556,Modify Authentication Process,"Credential Access, Defense Impairment, Persistence",T1558,Steal or Forge Kerberos Tickets,0.9782
BERT,T1556,Modify Authentication Process,"Credential Access, Defense Impairment, Persistence",,,
CTI-BERT,T1557,Adversary-in-the-Middle,"Collection, Credential Access",,,
SecureBERT,T1557,Adversary-in-the-Middle,"Collection, Credential Access",T1056,Input Capture,0.9734
BERT,T1557,Adversary-in-the-Middle,"Collection, Credential Access",T1040,Network Sniffing,0.9538
CTI-BERT,T1558,Steal or Forge Kerberos Tickets,Credential Access,,,
SecureBERT,T1558,Steal or Forge Kerberos Tickets,Credential Access,T1556,Modify Authentication Process,0.9782
BERT,T1558,Steal or Forge Kerberos Tickets,Credential Access,,,
CTI-BERT,T1559,Inter-Process Communication,Execution,,,
SecureBERT,T1559,Inter-Process Communication,Execution,T1569,System Services,0.9634
BERT,T1559,Inter-Process Communication,Execution,,,
CTI-BERT,T1560,Archive Collected Data,Collection,,,
SecureBERT,T1560,Archive Collected Data,Collection,T1114,Email Collection,0.9613
BERT,T1560,Archive Collected Data,Collection,,,
CTI-BERT,T1561,Disk Wipe,Impact,,,
SecureBERT,T1561,Disk Wipe,Impact,T1485,Data Destruction,0.9768
BERT,T1561,Disk Wipe,Impact,,,
CTI-BERT,T1563,Remote Service Session Hijacking,Lateral Movement,,,
SecureBERT,T1563,Remote Service Session Hijacking,Lateral Movement,T1021,Remote Services,0.9699
BERT,T1563,Remote Service Session Hijacking,Lateral Movement,,,
CTI-BERT,T1564,Hide Artifacts,Stealth,,,
SecureBERT,T1564,Hide Artifacts,Stealth,T1036,Masquerading,0.9751
BERT,T1564,Hide Artifacts,Stealth,,,
CTI-BERT,T1565,Data Manipulation,Impact,,,
SecureBERT,T1565,Data Manipulation,Impact,T1489,Service Stop,0.9696
BERT,T1565,Data Manipulation,Impact,,,
CTI-BERT,T1566,Phishing,Initial Access,,,
SecureBERT,T1566,Phishing,Initial Access,T1659,Content Injection,0.9628
BERT,T1566,Phishing,Initial Access,,,
CTI-BERT,T1567,Exfiltration Over Web Service,Exfiltration,,,
SecureBERT,T1567,Exfiltration Over Web Service,Exfiltration,T1052,Exfiltration Over Physical Medium,0.9616
BERT,T1567,Exfiltration Over Web Service,Exfiltration,,,
CTI-BERT,T1568,Dynamic Resolution,Command and Control,,,
SecureBERT,T1568,Dynamic Resolution,Command and Control,T1090,Proxy,0.9768
BERT,T1568,Dynamic Resolution,Command and Control,,,
CTI-BERT,T1569,System Services,Execution,,,
SecureBERT,T1569,System Services,Execution,T1574,Hijack Execution Flow,0.9789
BERT,T1569,System Services,Execution,,,
CTI-BERT,T1570,Lateral Tool Transfer,Lateral Movement,,,
SecureBERT,T1570,Lateral Tool Transfer,Lateral Movement,T1080,Taint Shared Content,0.968
BERT,T1570,Lateral Tool Transfer,Lateral Movement,,,
CTI-BERT,T1571,Non-Standard Port,Command and Control,,,
SecureBERT,T1571,Non-Standard Port,Command and Control,T1071,Application Layer Protocol,0.965
BERT,T1571,Non-Standard Port,Command and Control,,,
CTI-BERT,T1572,Protocol Tunneling,Command and Control,,,
SecureBERT,T1572,Protocol Tunneling,Command and Control,T1090,Proxy,0.9737
BERT,T1572,Protocol Tunneling,Command and Control,,,
CTI-BERT,T1573,Encrypted Channel,Command and Control,,,
SecureBERT,T1573,Encrypted Channel,Command and Control,T1568,Dynamic Resolution,0.9671
BERT,T1573,Encrypted Channel,Command and Control,,,
CTI-BERT,T1574,Hijack Execution Flow,"Execution, Stealth",,,
SecureBERT,T1574,Hijack Execution Flow,"Execution, Stealth",T1569,System Services,0.9789
BERT,T1574,Hijack Execution Flow,"Execution, Stealth",,,
CTI-BERT,T1578,Modify Cloud Compute Infrastructure,Defense Impairment,,,
SecureBERT,T1578,Modify Cloud Compute Infrastructure,Defense Impairment,T1484,Domain or Tenant Policy Modification,0.9655
BERT,T1578,Modify Cloud Compute Infrastructure,Defense Impairment,,,
CTI-BERT,T1580,Cloud Infrastructure Discovery,Discovery,,,
SecureBERT,T1580,Cloud Infrastructure Discovery,Discovery,T1526,Cloud Service Discovery,0.9693
BERT,T1580,Cloud Infrastructure Discovery,Discovery,,,
CTI-BERT,T1583,Acquire Infrastructure,Resource Development,T1584,Compromise Infrastructure,0.9576
SecureBERT,T1583,Acquire Infrastructure,Resource Development,T1584,Compromise Infrastructure,0.9823
BERT,T1583,Acquire Infrastructure,Resource Development,,,
CTI-BERT,T1584,Compromise Infrastructure,Resource Development,T1583,Acquire Infrastructure,0.9576
SecureBERT,T1584,Compromise Infrastructure,Resource Development,T1583,Acquire Infrastructure,0.9823
BERT,T1584,Compromise Infrastructure,Resource Development,,,
CTI-BERT,T1585,Establish Accounts,Resource Development,,,
SecureBERT,T1585,Establish Accounts,Resource Development,T1586,Compromise Accounts,0.978
BERT,T1585,Establish Accounts,Resource Development,,,
CTI-BERT,T1586,Compromise Accounts,Resource Development,,,
SecureBERT,T1586,Compromise Accounts,Resource Development,T1585,Establish Accounts,0.978
BERT,T1586,Compromise Accounts,Resource Development,,,
CTI-BERT,T1587,Develop Capabilities,Resource Development,T1588,Obtain Capabilities,0.973
SecureBERT,T1587,Develop Capabilities,Resource Development,T1588,Obtain Capabilities,0.9851
BERT,T1587,Develop Capabilities,Resource Development,T1588,Obtain Capabilities,0.9761
CTI-BERT,T1588,Obtain Capabilities,Resource Development,T1587,Develop Capabilities,0.973
SecureBERT,T1588,Obtain Capabilities,Resource Development,T1587,Develop Capabilities,0.9851
BERT,T1588,Obtain Capabilities,Resource Development,T1587,Develop Capabilities,0.9761
CTI-BERT,T1589,Gather Victim Identity Information,Reconnaissance,T1592,Gather Victim Host Information,0.952
SecureBERT,T1589,Gather Victim Identity Information,Reconnaissance,T1590,Gather Victim Network Information,0.9842
BERT,T1589,Gather Victim Identity Information,Reconnaissance,T1590,Gather Victim Network Information,0.9531
CTI-BERT,T1590,Gather Victim Network Information,Reconnaissance,T1592,Gather Victim Host Information,0.9773
SecureBERT,T1590,Gather Victim Network Information,Reconnaissance,T1592,Gather Victim Host Information,0.9892
BERT,T1590,Gather Victim Network Information,Reconnaissance,T1592,Gather Victim Host Information,0.9736
CTI-BERT,T1591,Gather Victim Org Information,Reconnaissance,T1590,Gather Victim Network Information,0.9652
SecureBERT,T1591,Gather Victim Org Information,Reconnaissance,T1590,Gather Victim Network Information,0.9837
BERT,T1591,Gather Victim Org Information,Reconnaissance,T1590,Gather Victim Network Information,0.961
CTI-BERT,T1592,Gather Victim Host Information,Reconnaissance,T1590,Gather Victim Network Information,0.9773
SecureBERT,T1592,Gather Victim Host Information,Reconnaissance,T1590,Gather Victim Network Information,0.9892
BERT,T1592,Gather Victim Host Information,Reconnaissance,T1590,Gather Victim Network Information,0.9736
CTI-BERT,T1593,Search Open Websites/Domains,Reconnaissance,T1596,Search Open Technical Databases,0.964
SecureBERT,T1593,Search Open Websites/Domains,Reconnaissance,T1596,Search Open Technical Databases,0.9857
BERT,T1593,Search Open Websites/Domains,Reconnaissance,,,
CTI-BERT,T1594,Search Victim-Owned Websites,Reconnaissance,T1591,Gather Victim Org Information,0.9615
SecureBERT,T1594,Search Victim-Owned Websites,Reconnaissance,T1591,Gather Victim Org Information,0.9822
BERT,T1594,Search Victim-Owned Websites,Reconnaissance,,,
CTI-BERT,T1595,Active Scanning,Reconnaissance,,,
SecureBERT,T1595,Active Scanning,Reconnaissance,T1598,Phishing for Information,0.9605
BERT,T1595,Active Scanning,Reconnaissance,,,
CTI-BERT,T1596,Search Open Technical Databases,Reconnaissance,T1593,Search Open Websites/Domains,0.964
SecureBERT,T1596,Search Open Technical Databases,Reconnaissance,T1593,Search Open Websites/Domains,0.9857
BERT,T1596,Search Open Technical Databases,Reconnaissance,,,
CTI-BERT,T1597,Search Closed Sources,Reconnaissance,,,
SecureBERT,T1597,Search Closed Sources,Reconnaissance,T1596,Search Open Technical Databases,0.9747
BERT,T1597,Search Closed Sources,Reconnaissance,,,
CTI-BERT,T1598,Phishing for Information,Reconnaissance,,,
SecureBERT,T1598,Phishing for Information,Reconnaissance,T1589,Gather Victim Identity Information,0.9648
BERT,T1598,Phishing for Information,Reconnaissance,,,
CTI-BERT,T1599,Network Boundary Bridging,Defense Impairment,,,
SecureBERT,T1599,Network Boundary Bridging,Defense Impairment,T1600,Weaken Encryption,0.9687
BERT,T1599,Network Boundary Bridging,Defense Impairment,,,
CTI-BERT,T1600,Weaken Encryption,Defense Impairment,,,
SecureBERT,T1600,Weaken Encryption,Defense Impairment,T1599,Network Boundary Bridging,0.9687
BERT,T1600,Weaken Encryption,Defense Impairment,,,
CTI-BERT,T1601,Modify System Image,Defense Impairment,,,
SecureBERT,T1601,Modify System Image,Defense Impairment,T1689,Downgrade Attack,0.9638
BERT,T1601,Modify System Image,Defense Impairment,,,
CTI-BERT,T1602,Data from Configuration Repository,Collection,,,
SecureBERT,T1602,Data from Configuration Repository,Collection,T1213,Data from Information Repositories,0.9626
BERT,T1602,Data from Configuration Repository,Collection,,,
CTI-BERT,T1606,Forge Web Credentials,Credential Access,,,
SecureBERT,T1606,Forge Web Credentials,Credential Access,T1539,Steal Web Session Cookie,0.9803
BERT,T1606,Forge Web Credentials,Credential Access,,,
CTI-BERT,T1608,Stage Capabilities,Resource Development,,,
SecureBERT,T1608,Stage Capabilities,Resource Development,T1584,Compromise Infrastructure,0.9721
BERT,T1608,Stage Capabilities,Resource Development,,,
CTI-BERT,T1609,Container Administration Command,Execution,,,
SecureBERT,T1609,Container Administration Command,Execution,T1651,Cloud Administration Command,0.9714
BERT,T1609,Container Administration Command,Execution,,,
CTI-BERT,T1610,Deploy Container,Execution,,,
SecureBERT,T1610,Deploy Container,Execution,T1127,Trusted Developer Utilities Proxy Execution,0.9699
BERT,T1610,Deploy Container,Execution,,,
CTI-BERT,T1611,Escape to Host,Privilege Escalation,,,
SecureBERT,T1611,Escape to Host,Privilege Escalation,T1484,Domain or Tenant Policy Modification,0.966
BERT,T1611,Escape to Host,Privilege Escalation,,,
CTI-BERT,T1612,Build Image on Host,Stealth,,,
SecureBERT,T1612,Build Image on Host,Stealth,T1620,Reflective Code Loading,0.9558
BERT,T1612,Build Image on Host,Stealth,,,
CTI-BERT,T1613,Container and Resource Discovery,Discovery,,,
SecureBERT,T1613,Container and Resource Discovery,Discovery,T1580,Cloud Infrastructure Discovery,0.9675
BERT,T1613,Container and Resource Discovery,Discovery,,,
CTI-BERT,T1614,System Location Discovery,Discovery,T1518,Software Discovery,0.9737
SecureBERT,T1614,System Location Discovery,Discovery,T1518,Software Discovery,0.9869
BERT,T1614,System Location Discovery,Discovery,T1518,Software Discovery,0.9623
CTI-BERT,T1615,Group Policy Discovery,Discovery,,,
SecureBERT,T1615,Group Policy Discovery,Discovery,T1482,Domain Trust Discovery,0.9733
BERT,T1615,Group Policy Discovery,Discovery,,,
CTI-BERT,T1619,Cloud Storage Object Discovery,Discovery,T1083,File and Directory Discovery,0.9502
SecureBERT,T1619,Cloud Storage Object Discovery,Discovery,T1083,File and Directory Discovery,0.9768
BERT,T1619,Cloud Storage Object Discovery,Discovery,,,
CTI-BERT,T1620,Reflective Code Loading,Stealth,,,
SecureBERT,T1620,Reflective Code Loading,Stealth,T1679,Selective Exclusion,0.9639
BERT,T1620,Reflective Code Loading,Stealth,,,
CTI-BERT,T1621,Multi-Factor Authentication Request Generation,Credential Access,,,
SecureBERT,T1621,Multi-Factor Authentication Request Generation,Credential Access,T1528,Steal Application Access Token,0.9639
BERT,T1621,Multi-Factor Authentication Request Generation,Credential Access,,,
CTI-BERT,T1622,Debugger Evasion,"Discovery, Stealth",,,
SecureBERT,T1622,Debugger Evasion,"Discovery, Stealth",T1574,Hijack Execution Flow,0.9647
BERT,T1622,Debugger Evasion,"Discovery, Stealth",,,
CTI-BERT,T1647,Plist File Modification,Defense Impairment,,,
SecureBERT,T1647,Plist File Modification,Defense Impairment,T1556,Modify Authentication Process,0.9628
BERT,T1647,Plist File Modification,Defense Impairment,,,
CTI-BERT,T1648,Serverless Execution,Execution,,,
SecureBERT,T1648,Serverless Execution,Execution,T1072,Software Deployment Tools,0.9667
BERT,T1648,Serverless Execution,Execution,,,
CTI-BERT,T1649,Steal or Forge Authentication Certificates,Credential Access,,,
SecureBERT,T1649,Steal or Forge Authentication Certificates,Credential Access,T1606,Forge Web Credentials,0.9744
BERT,T1649,Steal or Forge Authentication Certificates,Credential Access,,,
CTI-BERT,T1650,Acquire Access,Resource Development,,,
SecureBERT,T1650,Acquire Access,Resource Development,T1584,Compromise Infrastructure,0.9704
BERT,T1650,Acquire Access,Resource Development,,,
CTI-BERT,T1651,Cloud Administration Command,Execution,,,
SecureBERT,T1651,Cloud Administration Command,Execution,T1609,Container Administration Command,0.9714
BERT,T1651,Cloud Administration Command,Execution,,,
CTI-BERT,T1652,Device Driver Discovery,Discovery,,,
SecureBERT,T1652,Device Driver Discovery,Discovery,T1082,System Information Discovery,0.9718
BERT,T1652,Device Driver Discovery,Discovery,,,
CTI-BERT,T1653,Power Settings,Persistence,,,
SecureBERT,T1653,Power Settings,Persistence,T1037,Boot or Logon Initialization Scripts,0.9655
BERT,T1653,Power Settings,Persistence,,,
CTI-BERT,T1654,Log Enumeration,Discovery,,,
SecureBERT,T1654,Log Enumeration,Discovery,T1083,File and Directory Discovery,0.9726
BERT,T1654,Log Enumeration,Discovery,,,
CTI-BERT,T1657,Financial Theft,Impact,,,
SecureBERT,T1657,Financial Theft,Impact,T1498,Network Denial of Service,0.965
BERT,T1657,Financial Theft,Impact,,,
CTI-BERT,T1659,Content Injection,"Command and Control, Initial Access",,,
SecureBERT,T1659,Content Injection,"Command and Control, Initial Access",T1105,Ingress Tool Transfer,0.9786
BERT,T1659,Content Injection,"Command and Control, Initial Access",,,
CTI-BERT,T1665,Hide Infrastructure,Command and Control,,,
SecureBERT,T1665,Hide Infrastructure,Command and Control,T1568,Dynamic Resolution,0.9762
BERT,T1665,Hide Infrastructure,Command and Control,,,
CTI-BERT,T1666,Modify Cloud Resource Hierarchy,Defense Impairment,,,
SecureBERT,T1666,Modify Cloud Resource Hierarchy,Defense Impairment,,,
BERT,T1666,Modify Cloud Resource Hierarchy,Defense Impairment,,,
CTI-BERT,T1667,Email Bombing,Impact,,,
SecureBERT,T1667,Email Bombing,Impact,,,
BERT,T1667,Email Bombing,Impact,,,
CTI-BERT,T1668,Exclusive Control,Persistence,,,
SecureBERT,T1668,Exclusive Control,Persistence,T1136,Create Account,0.9601
BERT,T1668,Exclusive Control,Persistence,,,
CTI-BERT,T1669,Wi-Fi Networks,Initial Access,,,
SecureBERT,T1669,Wi-Fi Networks,Initial Access,T1659,Content Injection,0.9629
BERT,T1669,Wi-Fi Networks,Initial Access,,,
CTI-BERT,T1671,Cloud Application Integration,Persistence,,,
SecureBERT,T1671,Cloud Application Integration,Persistence,T1505,Server Software Component,0.9625
BERT,T1671,Cloud Application Integration,Persistence,,,
CTI-BERT,T1673,Virtual Machine Discovery,Discovery,,,
SecureBERT,T1673,Virtual Machine Discovery,Discovery,T1018,Remote System Discovery,0.9691
BERT,T1673,Virtual Machine Discovery,Discovery,,,
CTI-BERT,T1674,Input Injection,Execution,,,
SecureBERT,T1674,Input Injection,Execution,T1204,User Execution,0.9685
BERT,T1674,Input Injection,Execution,,,
CTI-BERT,T1675,ESXi Administration Command,Execution,,,
SecureBERT,T1675,ESXi Administration Command,Execution,T1651,Cloud Administration Command,0.9685
BERT,T1675,ESXi Administration Command,Execution,,,
CTI-BERT,T1677,Poisoned Pipeline Execution,Execution,,,
SecureBERT,T1677,Poisoned Pipeline Execution,Execution,T1072,Software Deployment Tools,0.9557
BERT,T1677,Poisoned Pipeline Execution,Execution,,,
CTI-BERT,T1678,Delay Execution,Stealth,,,
SecureBERT,T1678,Delay Execution,Stealth,T1574,Hijack Execution Flow,0.9737
BERT,T1678,Delay Execution,Stealth,,,
CTI-BERT,T1679,Selective Exclusion,Stealth,,,
SecureBERT,T1679,Selective Exclusion,Stealth,T1620,Reflective Code Loading,0.9639
BERT,T1679,Selective Exclusion,Stealth,,,
CTI-BERT,T1680,Local Storage Discovery,Discovery,,,
SecureBERT,T1680,Local Storage Discovery,Discovery,T1082,System Information Discovery,0.9725
BERT,T1680,Local Storage Discovery,Discovery,,,
CTI-BERT,T1681,Search Threat Vendor Data,Reconnaissance,,,
SecureBERT,T1681,Search Threat Vendor Data,Reconnaissance,T1682,Query Public AI Services,0.9688
BERT,T1681,Search Threat Vendor Data,Reconnaissance,,,
CTI-BERT,T1682,Query Public AI Services,Reconnaissance,,,
SecureBERT,T1682,Query Public AI Services,Reconnaissance,T1593,Search Open Websites/Domains,0.9715
BERT,T1682,Query Public AI Services,Reconnaissance,,,
CTI-BERT,T1683,Generate Content,Resource Development,,,
SecureBERT,T1683,Generate Content,Resource Development,T1585,Establish Accounts,0.9702
BERT,T1683,Generate Content,Resource Development,,,
CTI-BERT,T1684,Social Engineering,Stealth,,,
SecureBERT,T1684,Social Engineering,Stealth,T1036,Masquerading,0.9557
BERT,T1684,Social Engineering,Stealth,,,
CTI-BERT,T1685,Disable or Modify Tools,Defense Impairment,,,
SecureBERT,T1685,Disable or Modify Tools,Defense Impairment,T1686,Disable or Modify System Firewall,0.9676
BERT,T1685,Disable or Modify Tools,Defense Impairment,,,
CTI-BERT,T1686,Disable or Modify System Firewall,Defense Impairment,,,
SecureBERT,T1686,Disable or Modify System Firewall,Defense Impairment,T1685,Disable or Modify Tools,0.9676
BERT,T1686,Disable or Modify System Firewall,Defense Impairment,,,
CTI-BERT,T1687,Exploitation for Defense Impairment,Defense Impairment,,,
SecureBERT,T1687,Exploitation for Defense Impairment,Defense Impairment,T1685,Disable or Modify Tools,0.9562
BERT,T1687,Exploitation for Defense Impairment,Defense Impairment,,,
CTI-BERT,T1688,Safe Mode Boot,Defense Impairment,,,
SecureBERT,T1688,Safe Mode Boot,Defense Impairment,T1556,Modify Authentication Process,0.9602
BERT,T1688,Safe Mode Boot,Defense Impairment,,,
CTI-BERT,T1689,Downgrade Attack,Defense Impairment,,,
SecureBERT,T1689,Downgrade Attack,Defense Impairment,T1601,Modify System Image,0.9638
BERT,T1689,Downgrade Attack,Defense Impairment,,,
CTI-BERT,T1690,Prevent Command History Logging,Defense Impairment,,,
SecureBERT,T1690,Prevent Command History Logging,Defense Impairment,,,
BERT,T1690,Prevent Command History Logging,Defense Impairment,,,
